,movie_title,movie_year,genre,average_rating,num_votes,is_adult,imdb_tconst,imdb_link
18719,Mom,2017,"Crime,Drama,Thriller",7.2,10964.0,0,tt5690142,https://www.imdb.com/title/tt5690142/
18720,Mom and Dad,2017,"Comedy,Horror,Thriller",5.5,24837.0,0,tt5462326,https://www.imdb.com/title/tt5462326/
18721,Mom and Dad Save the World,1992,"Adventure,Comedy,Family",5.3,4904.0,0,tt0104905,https://www.imdb.com/title/tt0104905/
18722,Mom at Sixteen,2005,Drama,6.6,2943.0,0,tt0438123,https://www.imdb.com/title/tt0438123/
18723,Mom's Day Away,2014,Comedy,5.7,491.0,0,tt3593916,https://www.imdb.com/title/tt3593916/
18724,Moment by Moment,1978,"Drama,Romance",3.1,1279.0,0,tt0077942,https://www.imdb.com/title/tt0077942/
18725,Moments,1974,"Drama,Romance",6.7,54.0,0,tt0071851,https://www.imdb.com/title/tt0071851/
18726,Momentum,2015,"Action,Crime,Thriller",5.5,16219.0,0,tt3181776,https://www.imdb.com/title/tt3181776/
18727,Momentum Generation,2018,Documentary,8.2,1226.0,0,tt8106568,https://www.imdb.com/title/tt8106568/
18728,Mommie Dearest,1981,"Biography,Drama",6.6,16831.0,0,tt0082766,https://www.imdb.com/title/tt0082766/
18729,Mommy,2014,Drama,8.0,58292.0,0,tt3612616,https://www.imdb.com/title/tt3612616/
18730,Mommy Be Mine,2018,Thriller,4.5,310.0,0,tt8343312,https://www.imdb.com/title/tt8343312/
18731,Mommy Dead and Dearest,2017,"Crime,Documentary",7.4,10358.0,0,tt6442978,https://www.imdb.com/title/tt6442978/
18732,Mommy Group Murder,2018,,,,,,
18733,Mommy I Didn't Do It,2017,Talk-Show,,,0,tt6400092,https://www.imdb.com/title/tt6400092/
18734,Mommy Issues,2021,Comedy,5.4,46.0,0,tt14880428,https://www.imdb.com/title/tt14880428/
18735,Momo e no tegami (A Letter to Momo),2011,,,,,,
18736,"Momotaro, Sacred Sailors",1945,"Adventure,Animation,Family",5.6,330.0,0,tt0142666,https://www.imdb.com/title/tt0142666/
18737,Moms' Night Out,2014,Comedy,5.3,14105.0,0,tt3014666,https://www.imdb.com/title/tt3014666/
18738,Mon meilleur ami (My Best Friend),2006,,,,,,
18739,Mon Oncle,1958,Comedy,7.7,22923.0,0,tt0050706,https://www.imdb.com/title/tt0050706/
18740,Mon oncle Antoine,1971,Drama,7.4,3036.0,0,tt0067439,https://www.imdb.com/title/tt0067439/
18741,Mon pire cauchemar (My Worst Nightmare),2011,,,,,,
18742,Mon roi,2015,"Drama,Romance",7.1,13292.0,0,tt3478962,https://www.imdb.com/title/tt3478962/
