,movie_title,movie_year,genre,average_rating,num_votes,is_adult,imdb_tconst,imdb_link,tmdbId
11856,Gunga Din,1939,"Adventure,Comedy,War",7.2,12225.0,0.0,31398,https://www.imdb.com/title/tt0031398/,24965
11857,Gunga Jumna,1961,"Action,Adventure,Drama",7.4,626.0,0.0,54910,https://www.imdb.com/title/tt0054910/,0
11858,Guni-guni,2012,,,,,0,,0
11859,Gunman's Walk,1958,Western,7.0,1978.0,0.0,51690,https://www.imdb.com/title/tt0051690/,42871
11860,Gunpowder Milkshake,2021,"Action,Crime,Thriller",6.0,46234.0,0.0,8368408,https://www.imdb.com/title/tt8368408/,0
11861,Guns Akimbo,2019,"Action,Comedy,Crime",6.3,62824.0,0.0,6902676,https://www.imdb.com/title/tt6902676/,0
11862,Guns for Hire,2015,"Comedy,Drama,Thriller",4.7,1191.0,0.0,2201532,https://www.imdb.com/title/tt2201532/,356366
11863,Guns Girls And Gambling,2012,,,,,0,,0
11864,Guns Girls and Gangsters,1959,"Crime,Drama,Thriller",6.2,602.0,0.0,52870,https://www.imdb.com/title/tt0052870/,0
11865,Guns of Diablo,1964,"Romance,Western",5.6,783.0,0.0,58167,https://www.imdb.com/title/tt0058167/,96089
11866,Guns of Eden,2022,Action,4.4,120.0,0.0,15180746,https://www.imdb.com/title/tt15180746/,0
11867,The Guns of Fort Petticoat,1957,"Action,Romance,War",6.2,1459.0,0.0,50470,https://www.imdb.com/title/tt0050470/,71768
11868,The Guns Of Navarone,1961,"Action,Adventure,Drama",7.5,52471.0,0.0,54953,https://www.imdb.com/title/tt0054953/,10911
11869,Guns of the Apocalypse,2018,"Action,Adventure,Western",4.0,103.0,0.0,8924518,https://www.imdb.com/title/tt8924518/,0
11870,Guns of the Magnificent Seven,1969,"Action,Western",5.7,2897.0,0.0,64395,https://www.imdb.com/title/tt0064395/,12625
11871,Gunter Babysits,2017,"Animation,Comedy,Family",5.7,278.0,0.0,6536766,https://www.imdb.com/title/tt6536766/,0
11872,Guppy,2016,"Comedy,Drama",8.1,2221.0,0.0,5889462,https://www.imdb.com/title/tt5889462/,411054
11873,Gupt: The Hidden Truth,1997,"Action,Crime,Mystery",7.3,5273.0,0.0,119239,https://www.imdb.com/title/tt0119239/,21906
11874,Gurgaon,2017,"Crime,Thriller",6.4,2329.0,0.0,4699202,https://www.imdb.com/title/tt4699202/,432140
11875,Gurotesuku (Grotesque),2009,,,,,0,,0
11876,Guru,2007,Drama,7.7,24198.0,0.0,499375,https://www.imdb.com/title/tt0499375/,15772
11877,Gus,2013,,,,,0,,0
11878,Gut,2012,"Drama,Horror,Thriller",3.8,960.0,0.0,1506459,https://www.imdb.com/title/tt1506459/,106238
11879,Gutboy: A Badtime Story,2017,"Animation,Comedy,Fantasy",5.6,85.0,0.0,4835618,https://www.imdb.com/title/tt4835618/,417815
11880,Guter Junge,2008,Drama,7.0,287.0,0.0,1205492,https://www.imdb.com/title/tt1205492/,8371
11881,Gutland,2017,"Drama,Mystery,Thriller",6.1,1302.0,0.0,5455410,https://www.imdb.com/title/tt5455410/,434362
11882,Gutshot Straight,2014,"Action,Crime,Thriller",3.6,1755.0,0.0,2252552,https://www.imdb.com/title/tt2252552/,297702
11883,GUTTER,2022,Crime,5.2,113.0,0.0,14200420,https://www.imdb.com/title/tt14200420/,0
11884,Guy,2018,"Comedy,Drama,Music",6.7,828.0,0.0,7253216,https://www.imdb.com/title/tt7253216/,0
11885,Guys and Dolls,1955,"Comedy,Crime,Musical",7.1,18114.0,0.0,48140,https://www.imdb.com/title/tt0048140/,4825
11886,"Gwanghae, Wangyidoen namja",2012,,,,,0,,0
11887,"Gwanghae, Wangyidoen namja (Masquerade)",2012,,,,,0,,0
11888,Gwansang,2013,Drama,6.8,2619.0,0.0,3008014,https://www.imdb.com/title/tt3008014/,220176
11889,Gwen,2019,"Drama,History,Horror",5.7,5536.0,0.0,5149490,https://www.imdb.com/title/tt5149490/,0
11890,Gwi-hyang,2016,Drama,6.7,541.0,0.0,5503266,https://www.imdb.com/title/tt5503266/,384641
11891,Gyakuten saiban (Ace Attorney),2012,,,,,0,,0
11892,Gycklarnas afton,1953,Drama,7.4,6986.0,0.0,45848,https://www.imdb.com/title/tt0045848/,47721
11893,Gyeol-hon-sik-hoo-ae (After the Banquet),2009,,,,,0,,0
11894,Gypped in the Penthouse,1955,"Comedy,Short",7.2,266.0,0.0,48141,https://www.imdb.com/title/tt0048141/,0
11895,Gypsy 83,2001,"Drama,Romance",6.8,1720.0,0.0,251110,https://www.imdb.com/title/tt0251110/,33343
11896,The Gypsy Moths,1969,"Action,Drama,Romance",6.3,2254.0,0.0,64397,https://www.imdb.com/title/tt0064397/,64079
11897,Gypsy Wildcat,1944,"Action,Drama,Romance",5.8,175.0,0.0,36890,https://www.imdb.com/title/tt0036890/,0
11898,H Project,2013,"Horror,Thriller",4.3,270.0,0.0,3206074,https://www.imdb.com/title/tt3206074/,0
11899,H Story,2001,Drama,6.5,249.0,0.0,285166,https://www.imdb.com/title/tt0285166/,0
11900,H-8...,1958,"Drama,Thriller",8.4,1543.0,0.0,51693,https://www.imdb.com/title/tt0051693/,0
11901,H.P. Lovecraft's Witch House,2021,Horror,2.7,202.0,0.0,15427420,https://www.imdb.com/title/tt15427420/,0
11902,H2oil,2009,Documentary,6.9,147.0,0.0,1337497,https://www.imdb.com/title/tt1337497/,50384
11903,H6: Diario De Un Asesino (H6: Diary of a Serial Killer),2005,,,,,0,,0
11904,H8RZ,2015,"Drama,Mystery,Thriller",5.8,670.0,0.0,3382888,https://www.imdb.com/title/tt3382888/,348955
11905,Ha yat dik mo mo cha (Summer Holiday),2000,,,,,0,,0
11906,Ha-Bayit Berechov Chelouche (The House on Chelouche Street),1973,,,,,0,,0
11907,Haapus,2010,Comedy,7.2,137.0,0.0,2321321,https://www.imdb.com/title/tt2321321/,0
11908,"Hababam Sinifi 3,5",2006,,,,,0,,0
11909,Hababam Sinifi Sinifta Kaldi,1975,Comedy,8.9,23738.0,0.0,252488,https://www.imdb.com/title/tt0252488/,31534
11910,Habemus Papam,2011,"Comedy,Music,Talk-Show",,,0.0,533274,https://www.imdb.com/title/tt0533274/,0
11911,Habemus Papam (We Have a Pope),2011,,,,,0,,0
11912,Habibie & Ainun,2012,"Biography,Drama,Romance",7.6,2175.0,0.0,2589132,https://www.imdb.com/title/tt2589132/,172705
11913,"Habit, 2017",2017,Sport,,,0.0,10990454,https://www.imdb.com/title/tt10990454/,0
11914,"Habit, 1995",1995,"Drama,Horror,Romance",6.4,1880.0,0.0,113241,https://www.imdb.com/title/tt0113241/,28671
11915,"Habit, 2021",2021,"Action,Comedy,Drama",2.8,1171.0,0.0,11788956,https://www.imdb.com/title/tt11788956/,0
11916,Hable con ella,2002,"Comedy,Romance",,,0.0,6569696,https://www.imdb.com/title/tt6569696/,0
11917,Hable con Ella (Talk to Her),2002,,,,,0,,0
